Train;Time;Event type;Resource;Gate;Complement;
Train1;d1 5:54:0;EnterSystem;TrackGroup7;;;
Train1;d1 5:54:0;EnterResource;TrackGroup7;B1;;
Train1;d1 5:54:0;ExitResource;TrackGroup7;A3;;
Train1;d1 5:54:0;EnterResource;TrackGroup6;B1;;
Train1;d1 5:54:0;ExitResource;TrackGroup6;A1;;
Train1;d1 5:54:0;EnterResource;TrackGroup3;B1;;
Train1;d1 5:54:0;ExitResource;TrackGroup3;A1;;
Train1;d1 5:54:0;EnterResource;TrackGroup1;B9;;
Train1;d1 5:54:0;ExitResource;TrackGroup1;A7;;
Train1;d1 5:54:0;EnterResource;Platform7;B1;;
Train1;d1 5:54:0;Arrival;Platform7;;Arrival1;
Train1;d1 5:54:0;ExitResource;Platform7;B1;;
Train1;d1 5:5:0;EnterResource;Platform7;B1;;
Train1;d1 5:5:0;Departure;Platform7;;Dep1;
Train1;d1 5:5:0;ExitResource;Platform7;B1;;
Train1;d1 5:5:0;EnterResource;TrackGroup1;A7;;
Train1;d1 5:5:0;ExitResource;TrackGroup1;B9;;
Train1;d1 5:5:0;EnterResource;TrackGroup3;A1;;
Train1;d1 5:5:0;ExitResource;TrackGroup3;B1;;
Train1;d1 5:5:0;EnterResource;TrackGroup6;A1;;
Train1;d1 5:5:0;ExitResource;TrackGroup6;B1;;
Train1;d1 5:5:0;EnterResource;TrackGroup7;A3;;
Train1;d1 5:5:0;ExitResource;TrackGroup7;B7;;
Train1;d1 5:5:0;ExitSystem;TrackGroup7;;;
Train2;d1 6:7:0;EnterSystem;TrackGroup10;;;
Train2;d1 6:7:0;EnterResource;TrackGroup10;B1;;
Train2;d1 6:7:0;ExitResource;TrackGroup10;A3;;
Train2;d1 6:7:0;EnterResource;TrackGroup8;B1;;
Train2;d1 6:7:0;ExitResource;TrackGroup8;A1;;
Train2;d1 6:7:0;EnterResource;TrackGroup3;B1;;
Train2;d1 6:7:0;ExitResource;TrackGroup3;A1;;
Train2;d1 6:7:0;EnterResource;TrackGroup1;A7;;
Train2;d1 6:7:0;ExitResource;TrackGroup1;A7;;
Train2;d1 6:7:0;EnterResource;Platform7;B1;;
Train2;d1 6:7:0;Arrival;Platform7;;Arrival2;
Train2;d1 6:7:0;ExitResource;Platform7;B1;;
Train2;d1 5:33:0;EnterResource;Platform7;B1;;
Train2;d1 5:33:0;Departure;Platform7;;Dep2;
Train2;d1 5:33:0;ExitResource;Platform7;B1;;
Train2;d1 5:33:0;EnterResource;TrackGroup1;A1;;
